ID;Year_Birth;Education;Marital_Status;Income;Kidhome;Teenhome;Recency;MntWines;MntFruits;MntMeatProducts;MntFishProducts;MntSweetProducts;MntGoldProds;NumDealsPurchases;NumWebPurchases;NumCatalogPurchases;NumStorePurchases;NumWebVisitsMonth;AcceptedCmp3;AcceptedCmp4;AcceptedCmp5;AcceptedCmp1;AcceptedCmp2;Complain;Response;Dt_Customer_month;Dt_Customer_dayofweek
7516;1983;Graduation;Married;30096.0;1;0;30;5;3;11;12;5;9;1;2;0;3;6;0;0;0;0;0;0;0;5;3
7247;1960;Graduation;Widow;47916.0;0;1;72;505;0;26;0;0;75;5;7;4;6;6;0;1;0;0;0;0;0;11;3
11100;1972;Graduation;Divorced;51813.0;1;1;37;51;2;7;0;1;2;2;2;0;3;7;0;0;0;0;0;0;0;4;3
3037;1983;PhD;Married;50150.0;0;0;32;135;46;92;65;61;11;2;5;2;7;5;0;0;0;0;0;0;0;6;3
1473;1960;2n Cycle;Single;47823.0;0;1;0;53;1;5;2;1;10;2;2;0;3;8;0;0;0;0;0;0;0;7;1
1016;1959;PhD;Single;34554.0;0;1;43;41;1;6;2;0;5;2;2;0;3;6;0;0;0;0;0;0;0;3;6
9370;1945;PhD;Married;65846.0;0;0;68;562;81;276;80;40;81;1;6;3;6;4;0;0;0;0;0;0;0;5;4
8373;1979;Basic;Together;24594.0;1;0;94;1;3;6;10;0;9;1;1;0;3;5;0;0;0;0;0;0;0;12;1
7533;1964;Graduation;Married;49096.0;1;1;15;144;1;32;2;1;7;4;4;1;4;7;0;0;0;0;0;0;0;9;1
3629;1978;Graduation;Single;38557.0;1;0;17;76;3;31;4;4;27;2;3;1;3;7;0;0;0;0;0;0;0;12;2
3267;1963;Master;Together;57288.0;0;1;27;527;0;21;0;0;60;3;8;1;8;6;0;1;0;0;0;0;0;6;2
999;1991;Graduation;Single;86037.0;0;0;95;490;44;125;29;20;22;1;6;7;11;3;0;1;1;0;0;0;1;1;2
9215;1980;PhD;Married;43974.0;1;0;19;378;0;101;0;0;72;5;6;4;6;7;0;0;0;0;0;0;0;12;2
2286;1962;Graduation;Single;50785.0;1;1;27;64;1;21;0;1;27;2;2;1;3;6;0;0;0;0;0;0;0;9;1
5234;1967;2n Cycle;Together;30753.0;1;1;85;12;5;25;0;9;30;2;1;1;3;5;0;0;0;0;0;0;0;7;3
9862;1969;Graduation;Together;21918.0;1;0;37;1;6;7;11;5;3;2;2;0;3;6;0;0;0;0;0;0;0;11;3
9805;1953;Master;Together;56129.0;0;1;65;320;48;133;39;72;48;4;6;2;10;4;0;0;0;0;0;0;0;6;3
6205;1967;Master;Single;32557.0;1;0;13;34;3;29;0;4;10;3;2;1;3;5;0;0;0;0;0;0;1;2;0
8442;1985;Master;Married;19510.0;2;0;63;9;0;7;3;4;7;2;1;0;3;7;0;0;0;0;0;0;0;9;2
7386;1976;Graduation;Divorced;30992.0;1;0;83;17;0;14;7;3;2;1;1;0;3;7;0;0;0;0;0;0;0;4;0
3381;1953;Master;Married;54348.0;1;1;51;70;0;16;0;0;4;2;2;0;4;6;0;0;0;0;0;0;0;6;6
8268;1961;PhD;Married;52465.15789473684;0;1;23;352;0;27;10;0;15;3;6;1;7;6;0;0;0;0;0;0;0;7;3
11051;1956;PhD;Together;77376.0;1;1;72;492;19;110;16;12;12;4;6;3;10;4;0;0;0;0;0;0;0;5;5
433;1958;Master;Single;61331.0;1;1;42;534;5;47;0;5;41;5;11;1;6;8;0;0;0;0;0;0;0;3;6
1295;1963;Graduation;Married;44145.22580645161;0;1;96;231;65;196;38;71;124;1;6;5;7;4;0;0;0;0;0;0;0;8;6
5290;1964;PhD;Married;41551.0;1;1;51;220;0;33;3;0;23;5;5;1;5;8;0;0;0;0;0;0;0;8;2
5342;1976;Basic;Divorced;9548.0;1;0;31;0;1;3;10;6;9;2;1;0;3;8;0;0;0;0;0;0;0;8;2
9579;1959;PhD;Married;33762.0;2;1;61;53;1;34;2;0;16;3;2;2;2;8;0;0;0;0;0;0;0;7;6
7660;1973;PhD;Single;35860.0;1;1;37;15;0;8;4;2;20;2;1;1;2;5;1;0;0;0;0;0;1;5;0
1461;1965;PhD;Divorced;36921.0;1;1;74;17;1;12;3;1;4;2;2;0;3;7;0;0;0;0;0;0;0;7;6
11084;1976;Master;Together;65104.0;0;1;4;738;0;232;13;20;50;2;3;5;7;7;0;0;0;0;0;0;1;11;3
2937;1974;PhD;Single;68352.0;0;1;47;614;16;132;43;33;33;3;8;5;9;6;0;0;0;0;0;0;0;8;2
9701;1988;Graduation;Together;41883.0;1;0;13;32;34;41;73;16;116;3;4;2;3;7;0;0;0;0;0;0;0;3;1
9949;1976;Graduation;Married;59809.0;0;2;36;598;16;141;32;41;49;3;3;3;6;8;0;0;0;0;0;0;0;10;3
10837;1975;Graduation;Married;23957.0;1;0;47;2;1;18;20;11;16;1;2;0;3;6;0;0;0;0;0;0;1;10;6
3120;1981;Graduation;Together;38547.0;1;0;49;6;1;10;0;1;4;1;1;0;2;8;0;0;0;0;0;1;0;8;2
4050;1966;Master;Married;49605.0;0;0;65;42;16;29;12;20;8;1;2;1;4;3;0;0;0;0;0;0;0;6;5
3830;1953;Master;Married;59354.0;0;2;59;295;21;78;39;13;13;1;4;4;7;3;0;0;0;0;0;0;0;4;3
7987;1969;Graduation;Married;65747.0;0;1;96;346;17;48;23;13;13;4;8;1;6;6;0;1;0;0;0;0;0;3;4
7798;1972;2n Cycle;Together;46344.0;0;1;28;233;20;57;8;20;91;4;7;1;5;7;0;0;0;0;0;0;0;12;4
92;1988;Graduation;Single;34176.0;1;0;12;5;7;24;19;14;20;4;3;0;4;6;0;0;0;0;0;0;0;5;0
7055;1952;PhD;Together;61010.0;0;1;57;888;0;57;0;0;76;2;8;5;11;5;0;0;0;0;0;0;0;10;1
10240;1949;Graduation;Together;69372.0;0;0;10;997;26;269;34;13;42;1;10;4;6;4;0;1;1;0;0;0;1;2;1
3025;1958;Graduation;Single;49967.0;0;1;4;212;6;69;4;12;3;3;6;1;5;7;0;0;0;0;0;0;0;7;0
9283;1978;Graduation;Single;60199.0;1;2;49;8;1;7;2;0;0;1;0;0;3;4;0;0;0;0;0;0;0;9;3
9970;1977;Graduation;Together;55375.0;0;1;3;42;11;57;10;28;14;1;1;1;6;2;0;0;0;0;0;0;0;10;3
2795;1958;Master;Single;30523.0;2;1;0;5;0;3;0;0;5;1;1;0;2;7;0;0;0;0;0;0;0;7;0
8182;1984;Graduation;Married;23228.0;1;0;91;53;3;49;7;4;5;4;3;0;4;8;0;0;0;0;0;0;0;1;6
10095;1975;PhD;Divorced;74165.0;0;0;9;1001;12;240;16;12;12;1;5;4;10;2;0;0;0;0;0;0;0;5;2
4370;1966;Graduation;Together;43482.0;2;1;83;18;1;32;6;3;28;3;2;0;4;6;0;0;0;0;0;0;0;11;2
3712;1959;Graduation;Divorced;52332.0;0;0;63;212;5;33;7;0;2;1;3;2;6;4;0;1;0;0;0;0;0;8;2
3152;1957;Graduation;Together;26091.0;1;1;84;15;10;19;8;17;20;3;2;1;3;5;0;0;0;0;0;0;0;2;1
5610;1965;Graduation;Together;33456.0;1;1;58;7;3;10;8;1;7;2;1;0;3;7;0;0;0;0;0;0;0;4;0
6460;1982;Graduation;Married;28718.0;1;0;78;12;4;6;11;8;16;2;2;0;3;8;0;0;0;0;0;0;0;7;5
1349;1970;Graduation;Married;50447.0;2;0;4;85;7;24;2;3;27;1;3;1;3;6;0;0;0;0;0;0;0;4;0
1880;1959;PhD;Together;53537.0;1;1;17;81;0;6;0;0;6;2;2;1;3;5;0;0;0;0;0;0;0;1;3
641;1967;Graduation;Single;52074.0;0;1;77;59;0;12;0;0;48;1;2;2;2;4;1;0;0;0;0;0;0;4;4
8717;1975;PhD;Married;80427.0;0;1;56;1149;71;449;69;71;26;1;11;8;8;5;0;0;0;0;0;0;0;9;2
10854;1970;PhD;Married;38853.0;1;1;90;29;0;14;0;0;2;2;2;0;3;7;0;0;0;0;0;0;0;5;4
10492;1959;Graduation;Together;38285.0;2;1;96;2;0;5;2;0;1;1;0;0;3;2;0;0;0;0;0;0;0;6;1
7698;1976;PhD;Married;51650.0;0;1;81;152;3;22;2;5;7;1;4;1;4;5;0;0;0;0;0;0;0;5;6
3559;1988;2n Cycle;Married;16248.0;1;0;77;12;11;10;3;12;9;3;2;1;3;6;0;0;0;0;0;0;0;5;5
10796;1984;Master;Married;30477.0;1;0;16;47;1;6;0;0;12;1;1;1;3;6;0;0;0;0;0;0;0;1;2
2563;1961;Basic;Married;28249.0;0;0;80;1;9;7;2;14;10;1;2;0;3;6;0;0;0;0;0;0;0;6;6
3518;1983;Graduation;Married;25271.0;1;0;45;10;1;18;10;4;7;1;1;1;2;9;0;0;0;0;0;0;0;12;2
5823;1970;PhD;Single;32303.0;0;1;63;35;0;2;0;0;2;2;1;0;4;5;0;0;0;0;0;0;0;3;5
3934;1966;Graduation;Married;61286.0;0;1;34;356;0;107;19;9;117;2;7;1;8;5;0;0;0;0;0;0;0;8;4
6431;1964;PhD;Married;45759.0;1;1;13;42;1;18;3;0;4;2;2;0;3;7;0;0;0;0;0;0;0;2;5
9733;1978;Basic;Together;24882.0;1;0;52;1;4;10;29;0;36;1;1;1;2;6;1;0;0;0;0;0;0;9;6
1324;1988;Graduation;Married;38872.0;1;0;93;23;3;21;3;19;22;2;3;0;3;8;0;0;0;0;0;0;0;5;3
326;1973;Graduation;Married;51148.0;1;1;38;235;6;45;8;9;12;4;5;1;6;6;0;0;0;0;0;0;0;2;0
7224;1977;Graduation;Married;31353.0;1;1;24;10;0;10;3;1;7;2;1;1;2;8;0;0;0;0;0;0;0;12;6
6999;1980;Master;Married;69661.0;0;0;80;656;16;106;32;16;8;1;7;3;12;3;0;0;0;0;0;0;0;5;1
3182;1973;PhD;Single;46854.0;1;1;81;96;1;79;7;1;79;6;5;1;3;8;1;0;0;0;0;0;1;3;0
7300;1952;Graduation;Divorced;69142.0;0;1;50;448;4;34;6;4;39;3;8;1;7;5;0;1;0;0;0;0;0;6;6
1030;1965;PhD;Single;40637.0;1;1;72;22;0;13;0;0;3;2;1;0;3;7;0;0;0;0;0;0;0;7;2
624;1984;Master;Single;18890.0;0;0;5;6;4;1;7;2;15;1;0;1;2;6;1;0;0;0;0;0;1;11;5
5176;1988;Graduation;Together;29604.0;1;0;88;7;6;13;7;6;14;1;1;0;3;9;1;0;0;0;0;0;0;12;6
5552;1963;Master;Divorced;48721.0;1;1;50;81;18;113;47;13;21;6;4;2;5;6;0;0;0;0;0;0;0;5;0
868;1966;Graduation;Married;44794.0;0;1;99;54;0;7;0;0;4;1;2;0;3;6;0;0;0;0;0;0;0;6;6
2677;1956;Graduation;Together;46097.0;0;1;11;72;24;68;65;4;8;5;3;1;6;4;0;0;0;0;0;0;0;3;6
1584;1977;Graduation;Married;41443.0;1;0;79;171;7;171;25;19;89;6;8;1;5;8;0;0;0;0;0;0;0;4;1
7264;1978;2n Cycle;Single;52195.0;2;1;2;12;0;4;0;0;1;1;1;0;2;8;0;0;0;0;0;0;0;5;0
6274;1948;Master;Married;83790.0;0;0;81;1076;16;417;42;48;16;1;8;10;6;3;0;1;1;0;0;0;0;11;4
1377;1954;Master;Widow;44551.0;0;1;24;182;4;33;0;0;66;2;4;1;5;7;0;0;0;0;0;0;0;8;5
454;1980;Graduation;Together;69508.0;1;0;48;824;32;162;42;32;43;2;11;4;11;6;0;0;0;0;0;0;0;11;2
1755;1988;2n Cycle;Together;45204.0;1;0;93;30;11;25;29;1;18;1;1;1;4;3;0;0;0;0;0;0;0;4;4
2075;1969;Graduation;Married;72460.0;0;0;56;377;10;540;80;30;10;1;3;5;7;1;0;0;0;0;0;0;0;11;3
4785;1970;PhD;Together;77622.0;0;2;3;520;7;154;19;0;14;2;6;3;11;3;0;0;0;0;0;0;0;4;0
9076;1980;PhD;Married;30732.0;1;0;44;155;1;25;0;1;3;4;4;1;4;8;0;0;0;0;0;0;0;1;5
7079;1962;Graduation;Divorced;63887.0;0;1;38;897;23;207;15;11;92;5;9;6;12;6;0;0;0;0;0;0;0;9;5
4653;1978;Graduation;Together;42011.0;1;0;46;131;0;16;2;1;39;4;3;1;4;8;0;0;0;0;0;0;0;3;1
709;1952;Graduation;Divorced;51537.0;0;1;27;787;20;204;0;0;92;3;2;2;11;8;0;0;0;0;0;0;0;12;6
3726;1986;PhD;Together;34320.0;1;0;66;4;1;9;3;0;0;1;1;0;2;8;0;0;0;0;0;0;0;2;6
1606;1971;Graduation;Together;38590.0;1;0;65;3;1;8;4;3;3;1;1;0;2;8;0;0;0;0;0;0;0;5;2
9617;1951;Graduation;Single;15033.0;0;0;37;0;4;5;6;0;4;1;1;0;3;3;0;0;0;0;0;0;0;4;2
3233;1965;PhD;Married;62745.0;0;1;89;562;21;464;28;10;32;3;7;8;11;5;0;0;0;0;0;0;0;3;5
89;1975;2n Cycle;Married;22212.0;1;0;49;5;9;20;6;8;21;2;2;0;4;6;0;0;0;0;0;0;0;12;0
2936;1982;Master;Together;23661.0;1;0;46;18;0;4;0;0;1;1;1;0;3;7;0;0;0;0;0;0;0;12;2
9449;1958;PhD;Single;79761.0;0;1;32;415;5;124;15;35;11;1;5;2;11;3;0;0;0;0;0;0;0;10;4
7297;1973;Graduation;Single;7500.0;1;0;54;5;3;10;12;7;20;4;3;1;3;7;0;0;0;0;0;0;0;12;3
10735;1971;Graduation;Single;22804.0;1;0;75;14;1;7;2;1;1;1;2;0;2;9;0;0;0;0;0;0;0;7;2
7411;1964;PhD;Married;31686.0;1;1;31;11;0;5;0;0;1;2;1;0;3;6;0;0;0;0;0;0;0;6;3
2176;1972;Graduation;Married;80134.0;1;0;40;1218;16;272;104;0;80;2;5;3;6;6;0;1;1;1;0;0;1;5;0
10236;1975;Master;Single;31160.0;1;0;59;16;3;25;6;1;13;2;2;0;3;8;0;0;0;0;0;0;0;9;0
6340;1985;Graduation;Single;29938.0;1;0;52;3;3;7;0;2;11;2;1;0;3;6;0;0;0;0;0;0;0;10;6
2227;1958;2n Cycle;Together;26490.0;0;0;92;45;47;52;21;20;25;2;3;1;5;6;0;0;0;0;0;0;0;9;5
10992;1967;Graduation;Together;75702.0;1;1;77;650;28;353;45;42;30;5;4;6;11;8;0;0;0;0;0;0;0;8;2
5304;1974;PhD;Single;30899.0;1;0;35;24;0;8;0;0;1;2;1;0;3;6;0;0;0;0;0;0;0;10;5
309;1961;PhD;Together;63342.0;0;1;48;918;21;118;13;10;21;3;8;3;5;6;0;1;0;0;0;0;0;10;1
3406;1964;Graduation;Single;45989.0;0;1;97;138;33;87;28;24;12;4;3;2;7;3;0;0;0;0;0;0;0;10;0
2661;1964;Graduation;Single;18701.0;1;1;95;12;4;2;10;6;10;4;2;0;4;5;0;0;0;0;0;0;0;6;1
3153;1957;PhD;Single;40737.0;2;1;24;11;0;4;0;0;2;1;1;0;2;8;0;0;0;0;0;0;0;12;6
10264;1979;Graduation;Divorced;15287.0;1;0;60;1;2;8;4;3;13;2;1;1;2;7;1;0;0;0;0;0;1;10;2
1184;1968;PhD;Divorced;69674.0;0;2;46;554;41;215;11;0;24;3;10;2;10;5;0;0;0;0;0;0;0;5;2
4200;1970;Master;Married;44159.0;1;0;85;167;2;62;24;13;7;4;4;1;6;5;0;0;0;0;0;0;0;6;1
9396;1978;PhD;Married;37717.0;1;0;31;9;0;6;4;1;5;1;1;0;2;9;0;0;0;0;0;0;0;11;4
2387;1952;Master;Together;43776.0;1;1;9;177;2;71;3;2;20;6;5;2;4;8;0;0;0;0;0;0;1;2;6
6690;1966;Master;Married;38179.0;1;1;30;38;4;22;4;2;20;4;3;1;3;7;0;0;0;0;0;0;0;3;3
9703;1970;PhD;Married;38097.0;1;1;70;77;2;35;0;1;69;4;3;2;2;7;1;0;0;0;0;0;1;10;0
4557;1970;Graduation;Together;22070.0;1;0;11;10;7;19;8;2;21;2;2;2;2;6;0;0;0;0;0;0;0;10;4
5726;1983;Master;Single;31788.0;1;0;15;16;7;23;0;8;6;3;3;0;4;5;0;0;0;0;0;1;0;3;3
3066;1975;PhD;Together;61905.0;0;1;2;167;0;43;6;2;13;2;4;2;4;5;0;0;0;0;0;0;0;2;1
6336;1960;Graduation;Married;29315.0;1;1;55;13;2;14;8;7;4;4;2;0;4;6;0;0;0;0;0;0;0;4;6
10967;1963;Graduation;Divorced;33378.0;1;1;38;33;6;40;3;7;10;3;2;0;4;7;0;0;0;0;0;0;0;2;2
2304;1963;PhD;Together;66313.0;0;1;86;625;7;99;10;22;7;2;6;3;12;4;0;0;0;0;0;0;0;9;0
4669;1981;Basic;Married;24480.0;1;0;46;4;19;9;28;25;17;3;3;0;4;7;0;0;0;0;0;0;0;2;0
1672;1974;PhD;Together;65640.0;0;1;74;204;7;149;20;15;66;1;5;1;8;2;0;0;0;0;0;0;0;3;5
8962;1975;Master;Married;44319.0;1;1;18;26;0;8;0;0;3;2;2;0;3;5;0;0;0;0;0;0;0;4;3
9974;1974;Graduation;Married;30631.0;1;0;75;15;6;20;4;5;20;1;3;1;2;7;0;0;0;0;0;0;0;7;4
4697;1949;Master;Divorced;35416.0;0;0;62;248;3;81;4;3;51;3;7;1;5;8;0;0;0;0;0;0;0;6;3
9262;1984;2n Cycle;Together;32414.0;0;0;11;20;6;5;0;9;12;1;1;0;3;7;1;0;0;0;0;0;0;7;3
7254;1969;Graduation;Together;38361.0;1;0;74;39;0;56;20;8;14;3;3;1;3;7;0;0;0;0;0;0;0;12;4
4927;1971;Graduation;Together;16626.0;2;0;76;8;3;22;21;1;13;3;3;0;3;9;0;0;0;0;0;0;0;1;2
10451;1965;Graduation;Together;29672.0;1;1;6;9;1;3;0;4;8;1;0;0;3;6;0;0;0;0;0;0;0;3;1
2874;1988;2n Cycle;Divorced;35388.0;1;0;20;6;4;7;4;3;8;1;1;0;3;7;0;0;0;0;0;0;0;3;3
9738;1986;Master;Together;42386.0;1;0;43;65;4;16;0;4;11;1;3;0;3;8;0;0;0;0;0;0;0;1;6
7119;1982;Graduation;Single;68627.0;0;0;45;395;15;263;60;54;38;1;2;3;6;1;0;0;0;0;0;0;0;1;5
3924;1965;PhD;Divorced;57912.0;0;1;34;801;0;80;0;0;35;5;8;3;12;5;0;1;0;0;0;0;0;3;0
5827;1958;Graduation;Divorced;35246.0;1;1;53;36;0;12;2;2;10;4;3;1;3;5;0;0;0;0;0;0;0;4;2
5596;1956;2n Cycle;Together;58821.0;0;1;44;513;14;154;19;0;28;1;9;2;9;6;0;0;0;0;0;0;0;10;5
10812;1978;PhD;Married;46377.0;1;0;89;37;0;46;4;3;0;1;2;1;3;4;0;0;0;0;0;0;0;3;5
1717;1988;Graduation;Single;39747.0;1;0;43;80;15;93;20;13;52;3;5;1;4;8;0;0;0;0;0;0;0;4;6
